	0
1	14,286996957499886
2	14,441675382255038
3	16,716613300216576
4	15,268735212169943
5	14,091194136900507
6	12,98108060130765
7	11,686895496954175
8	12,637744028996035
9	12,293620354066347
10	13,101041705782137
11	12,001067216791311
12	12,429956934698343
13	12,011001658490038
14	12,163866227657088
15	12,081064134186914
16	12,531050852812966
17	12,307081890480111
18	12,250687142602098
19	12,286566095648595
20	12,530837360726377
21	12,702583532765331
22	12,888550778084001
23	12,479441048226285
24	12,563901260462046
25	12,8344756975453
26	12,871468316732873
27	12,445698807535084
28	13,394246117377241
29	12,565293103100059
30	12,624062740492064
31	11,818668590015475
32	11,658888136071099
33	12,317161392086453
34	12,680334111082235
35	12,537822822769636
36	12,363921119294798
37	12,504552293207986
38	12,600552790002503
39	12,661417196566585
40	12,399329908095066
41	11,705038666982261
42	11,9978488447295
43	11,562743050784096
44	12,40264347564099
45	11,542871367385008
46	12,634401231082816
47	11,63873941685922
48	12,71514089070075
49	10,865996285032272
50	11,455188210555251
51	11,244428337767667
52	11,805461647940586
53	11,255165443754816
54	11,488155098090438
55	13,879726644125268
56	12,601221706458272
57	11,850619836478188
58	11,176540226098519
59	12,114451697560442
60	12,617082231634017
61	12,639999165885696
62	12,321487494720598
63	12,37896969320364
64	11,727767345653922
65	12,401241226376646
66	11,48287680310188
67	11,144752444480073
68	12,174456827354962
69	11,618442137037576
70	11,565682220640218
71	12,364838296245129
72	11,369291631711645
73	11,692173501948476
74	11,079136512848015
75	11,50699261456508
76	12,01214230083382
77	10,93924330687162
78	11,10674432377467
79	11,296078932237844
80	11,050121089955313
81	11,642111566597887
82	11,094531336748634
83	12,147069108856476
84	10,801422210675469
85	11,707140387455981
86	10,728194798806143
87	11,13464069593998
88	11,30550115119356
89	12,106178415402402
90	14,190290703683994
