ZONA,Acc_com_A,T_sup_const,P_Avaluo_SII,P_Ing_zonal,P_Edad_zonal,Densidad_hab,Densidad_par
63,0.454966839, 312564 ,23.1804618,0.545190548,37.26764024,5.176973005,0.169428207
64,0.323085039, 1944900 ,20.61280834,0.56996514,47.82069805,1.803583187,0.077637687
65,0.428807681, 487083 ,22.9433781,0.541759678,39.11029959,7.55970865,0.20431645
66,0.357045497, 431948 ,22.31518424,0.594121696,45.85715998,2.026734279,0
67,0.294248638, 654508 ,22.84178787,0.587353496,43.65223428,0.74691847,0.208442364
68,0.444140282, 408593 ,24.88148699,0.497316896,38.01472187,10.62903964,0.034067435
69,0.346142723, 583488 ,24.69983648,0.61623485,36.57429093,1.305428512,0
70,0.289539003, 498090 ,21.94272483,0.613061004,42.46626778,1.740832021,0.016983727
71,0.417613973, 570562 ,23.75297291,0.497062477,41.98467487,12.60557918,0.031124887
72,0.322881912, 266705 ,25.16557823,0.700399044,41.60302243,3.437100942,0.052878476
73,0.428554906, 208190 ,24.82564637,0.589949835,36.76944357,3.271825876,0
74,0.182550875, 237040 ,25.34921449,0.693647728,42.0450726,0.302054139,0.013855694
75,0.107500421, 1397939 ,17.84730109,0.7014307,34.92103656,0.495999534,0.05356795
76,0.286935265, 283843 ,27.35239541,0.710546096,38.01500929,5.572047494,0
77,0.28216637, 1436733 ,35.72247931,0.535412664,35.87787903,0.323845685,0.004048071
78,0.246014613, 931213 ,25.74335987,0.581908049,41.78580377,0.066590261,0.034600822
79,0.12796221, 910071 ,20.91321822,0.525275709,38.17766315,0.426790398,0.004991701
80,0.156307774, 384181 ,24.50247712,0.591913293,43.48570405,0.323302824,0.006339271
81,0.118024018, 733780 ,19.18220651,0.523982316,39.06389012,0.906854268,0.00824413
82,0.144838841, 475868 ,22.75231854,0.597704511,40.50097928,0.233532581,0.004207794
83,0.337512945, 283447 ,26.75102392,0.728627385,36.92935413,7.832258192,0
84,0.231875842, 670522 ,28.57131383,0.922438822,45.41431856,0.218654811,0.006527009
85,0.387434933, 298373 ,28.43246179,0.482624087,38.36658699,10.59097546,0
86,0.257123697, 140598 ,37.71094144,0.544062639,33.07852967,0.165354399,0.002431682
87,0.284574503, 304734 ,27.12595232,0.712501191,39.72888536,0.164328218,0
88,0.156612286, 1345680 ,26.79239086,0.650586443,40.92912099,0.196953436,0
89,0.26940233, 346027 ,26.99530025,0.528981244,34.21739691,3.791343277,0
90,0.498859455, 142818 ,20.75770097,0.596652748,36.09614712,20.25455709,0.855396406
